pathway,pathwayTitle,total_inchikeys,matched,ratio
WP5356,Disturbed pathways in Duchenne Muscular Dystrophy,11,2,0.18181818181818182
WP5402,10q22q23 copy number variation,11,2,0.18181818181818182
WP4104,Digestion,28,5,0.17857142857142858
WP1027,Glycolysis and gluconeogenesis,17,3,0.17647058823529413
WP157,Glycolysis and gluconeogenesis,17,3,0.17647058823529413
WP2486,NAD salvage pathway I,17,3,0.17647058823529413
WP3198,Glycerophospholipid biosynthetic pathway,29,5,0.1724137931034483
WP1871,Neurotransmitter release cycle,36,6,0.16666666666666666
WP1493,Carbon assimilation C4 pathway,30,5,0.16666666666666666
WP2859,Primary carbon metabolism,30,5,0.16666666666666666
WP4228,Vitamin B6-dependent and responsive disorders,18,3,0.16666666666666666
WP4586,Metabolism of alpha-linolenic acid,18,3,0.16666666666666666
WP2,Valine biosynthesis,12,2,0.16666666666666666
WP2747,PI Metabolism,12,2,0.16666666666666666
WP1013,Triacylglyceride synthesis,6,1,0.16666666666666666
WP1041,Statin pathway,6,1,0.16666666666666666
WP109,UDP-glucose conversion,6,1,0.16666666666666666
WP2652,Mitotic Prometaphase,6,1,0.16666666666666666
WP2653,PIP3 activates AKT signaling,6,1,0.16666666666666666
WP2727,Cellular response to hypoxia,6,1,0.16666666666666666
WP2755,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,6,1,0.16666666666666666
WP2772,S Phase,6,1,0.16666666666666666
WP2780,Signaling by ERBB2,6,1,0.16666666666666666
WP299,Nuclear receptors in lipid metabolism and toxicity,6,1,0.16666666666666666
WP325,Triacylglyceride synthesis,6,1,0.16666666666666666
WP3345,Resolution of Abasic Sites (AP sites),6,1,0.16666666666666666
WP3965,Lipid metabolism pathway,6,1,0.16666666666666666
WP430,Statin inhibition of cholesterol production,6,1,0.16666666666666666
WP4304,"Oligodendrocyte specification and differentiation, leading to myelin components for CNS",6,1,0.16666666666666666
WP431,Nuclear receptors in lipid metabolism and toxicity,6,1,0.16666666666666666
WP4589,Major receptors targeted by epinephrine and norepinephrine,6,1,0.16666666666666666
WP5087,Pleural mesothelioma,6,1,0.16666666666666666
WP5401,7q11.23 distal copy number variation,6,1,0.16666666666666666
WP782,Triacylglyceride synthesis,6,1,0.16666666666666666
WP981,Nuclear receptors in lipid metabolism and toxicity,6,1,0.16666666666666666
WP5355,Metabolic Epileptic Disorders,85,14,0.16470588235294117
WP4225,Pyrimidine metabolism and related diseases,37,6,0.16216216216216217
WP5314,Lactate shuttle in glial cells,19,3,0.15789473684210525
WP534,Glycolysis and gluconeogenesis,19,3,0.15789473684210525
WP2533,Glycerophospholipid biosynthetic pathway,32,5,0.15625
WP1935,"Transport of bile salts and organic acids, metal ions and amine compounds",52,8,0.15384615384615385
WP2766,Citric acid cycle and respiratory electron transport,39,6,0.15384615384615385
WP4084,Nucleobase biosynthesis,39,6,0.15384615384615385
WP14,Sucrose biosynthesis,13,2,0.15384615384615385
WP1928,Telomere Maintenance,13,2,0.15384615384615385
WP2579,Cadmium and glutathione,13,2,0.15384615384615385
WP2654,Mitotic Prophase,13,2,0.15384615384615385
WP3577,Class I MHC mediated antigen processing and presentation,13,2,0.15384615384615385
WP4061,Carnitine metabolism,13,2,0.15384615384615385
WP4932,7q11.23 copy number variation syndrome,13,2,0.15384615384615385
WP3580,Methionine de novo and salvage pathway,46,7,0.15217391304347827
WP112,Principal pathways of carbon metabolism,33,5,0.15151515151515152
WP4114,Fatty acyl-CoA biosynthesis,33,5,0.15151515151515152
WP4093,Glucose metabolism,40,6,0.15
WP4224,Purine metabolism and related disorders,40,6,0.15
WP3192,Neurotransmitter release cycle,20,3,0.15
WP3602,Metabolism overview,81,12,0.14814814814814814
WP4724,Omega-9 fatty acid synthesis,27,4,0.14814814814814814
WP3217,Iron uptake and transport,28,4,0.14285714285714285
WP4351,Omega-9 fatty acid synthesis,28,4,0.14285714285714285
WP4988,Histidine catabolism,21,3,0.14285714285714285
WP2207,Beta-alanine biosynthesis,14,2,0.14285714285714285
WP228,Deoxyribose phosphate metabolism,14,2,0.14285714285714285
WP3399,"Base-Excision Repair, AP Site Formation",14,2,0.14285714285714285
WP5178,Disorders of fructose metabolism,14,2,0.14285714285714285
WP132,Cholesterol biosynthesis,7,1,0.14285714285714285
WP137,"Fatty acid biosynthesis, initial steps",7,1,0.14285714285714285
WP1859,Mitotic G2-G2/M phases,7,1,0.14285714285714285
WP1873,Signaling by NTRK1,7,1,0.14285714285714285
WP1980,Nucleotide Excision Repair,7,1,0.14285714285714285
WP1995,Effects of nitric oxide,7,1,0.14285714285714285
WP1996,Linoleate biosynthesis,7,1,0.14285714285714285
WP3182,Effects of nitric oxide,7,1,0.14285714285714285
WP3381,Mismatch Repair,7,1,0.14285714285714285
WP3404,Oxidative Stress Induced Senescence,7,1,0.14285714285714285
WP3811,Smooth Muscle Contraction,7,1,0.14285714285714285
WP3816,Regulation of TP53 Activity through Acetylation,7,1,0.14285714285714285
WP3842,Intra-Golgi and retrograde Golgi-to-ER traffic,7,1,0.14285714285714285
WP4141,PI3K/AKT/mTOR - vitamin D3 signaling,7,1,0.14285714285714285
WP4431,Integrin signaling,7,1,0.14285714285714285
WP4947,Nitric oxide metabolism in cystic fibrosis,7,1,0.14285714285714285
WP4971,Phosphoinositides metabolism,7,1,0.14285714285714285
WP5121,Sphingolipid metabolism in senescence,7,1,0.14285714285714285
WP5211,Glucose metabolism in triple-negative breast cancer cells,7,1,0.14285714285714285
WP5381,Smith-Magenis and Potocki-Lupski syndrome copy number variation,7,1,0.14285714285714285
WP5391,Representative anthocyanin biosynthetic pathway,7,1,0.14285714285714285
WP4491,Elongation of (very) long chain fatty acids,45,6,0.13333333333333333
WP1902,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",15,2,0.13333333333333333
WP3354,C-type lectin receptors,15,2,0.13333333333333333
WP3933,Kennedy pathway from sphingolipids,15,2,0.13333333333333333
WP4162,Poly(glycerol phosphate) wall teichoic acid biosynthesis,23,3,0.13043478260869565
WP2485,NAD biosynthesis II (from tryptophan),24,3,0.125
WP3228,NAD biosynthesis II from tryptophan,24,3,0.125
WP3839,Retinoid metabolism and transport,24,3,0.125
WP1771,Kennedy pathway,16,2,0.125
WP1780,ABC-family proteins mediated transport,16,2,0.125
WP1978,Opioid signaling,16,2,0.125
WP220,Ribose and deoxyribose phosphate metabolism,16,2,0.125
WP3806,Metabolism of folate and pterines,16,2,0.125
WP4072,Glycogen metabolism,16,2,0.125
WP4113,Ketone body metabolism,16,2,0.125
WP4271,Vitamin B12 disorders,16,2,0.125
WP4838,Regucalcin in proximal tubule epithelial kidney cells,16,2,0.125
WP4998,Cell recruitment (pro-inflammatory response),16,2,0.125
WP1877,Passive transport by Aquaporins,8,1,0.125
WP1903,Response to elevated platelet cytosolic Ca ions,8,1,0.125
WP2658,HIV Life Cycle,8,1,0.125
WP269,Heme biosynthesis,8,1,0.125
WP2725,Collagen biosynthesis and modifying enzymes,8,1,0.125
